time_s,pulse_width_us
1.2021043019829973,735
2.370199129895224,133
3.562579629832351,514
3.702476774758143,675
3.745695474607331,743
4.4720257324604065,448
5.1770060795891935,926
6.739154057863942,786
6.778801156455697,248
7.302081579727279,688
7.337299733126183,744
7.881811547138162,367
8.747475223580066,752
8.940922635875022,904
9.556715467205809,827
9.633602094118922,775
9.679390727814019,653
9.836980328880214,307
10.287579966565293,806
10.494072631434538,396
11.117765606341349,556
11.22955379244751,349
12.148538924519741,347
12.762081856126871,199
13.08997993310837,964
13.29852328626428,190
13.525183130913412,132
13.563721704441239,940
13.653537831628515,577
13.996198057430641,466
14.190538175510552,751
14.822641604293105,414
15.176886918001168,171
15.295851895150177,743
15.526396063278913,217
15.84717443187417,575
16.019091112593067,952
16.18004672304622,940
16.619504064142493,393
16.767977668606893,792
17.434828881122833,632
18.130260874245785,505
18.67230233822838,183
18.708816512218597,407
19.275850263079974,669
19.95301925701256,988
20.514039082741274,54
20.654063642859484,732
20.8145317383775,854
20.897399692028298,954
21.07458144837403,453
21.085151326578924,162
21.16882952463678,307
21.82635794691036,858
23.82423608250278,884
24.106005128697095,655
24.248024979497508,166
24.446903106451124,165
24.627574217918582,504
24.692391019530383,609
25.234053586966187,80
25.92197801372491,702
26.675882579046313,567
29.3308239769262,61
30.38415409431458,140
31.206587014562373,482
31.728332755550674,737
32.02459485503107,834
32.04682163316699,460
32.52512302657709,330
32.83581457032356,970
33.58979525787836,486
34.60379604845648,349
34.76983045580511,470
34.794705816406974,61
35.25711693396836,337
36.53382663386539,540
36.94436243216962,923
38.00983387509181,752
38.38634124776172,793
39.04333827158367,568
39.18772976892557,155
39.25493839434492,421
39.326178810715064,998
39.385019969752605,92
39.41235652920937,886
40.27065312495661,700
40.494960624340074,319
40.68802625567262,789
41.15550592296829,845
41.249139650702375,91
42.2082858716282,151
42.854263891348424,683
43.01888498934878,1000
43.11918089653499,72
43.38469070116926,683
43.537106136072644,179
43.57497548551882,668
43.82675538474488,642
44.952694667095436,136
45.457119635775605,697
46.998325248581686,903
48.021541411148256,871
48.58048746056905,77
49.505787658118976,283
49.86925299990242,279
50.403177627902906,481
50.59328707098038,186
50.70281413685313,862
51.7752728288147,788
51.84542430979983,818
51.939373807305074,238
52.09449467609292,63
52.5782443661798,916
52.785163904190036,324
53.127405371847516,674
54.20729482230988,914
54.978154940327016,84
55.56377843552086,55
55.649253400750176,55
56.24396386909666,198
56.471203034896604,99
56.533084833343494,829
56.73279769237199,626
56.76807641046765,982
57.225618985528136,812
57.71145744627125,965
57.858607500923746,276
57.8815282094368,323
59.24618343293207,857
59.650083012698964,282
