event,t_schedule_s,t_actual_s,jitter_ms,pulse_width_us
1,0.2984862475613259,0.3003690761544593,1.8828285931333801,319
2,0.35700177808549366,0.35549462295753725,-1.5071551279563953,513
3,0.48289912783211286,0.481726112044107,-1.1730157880058771,804
4,0.6368818505656836,0.6361985116188746,-0.6833389468089537,619
5,0.6827831806972446,0.6823225816049345,-0.46059909231008195,680
6,1.8585936084676895,1.858977069732836,0.3834612651466028,623
7,4.002827783857633,4.005065102086577,2.2373182289432467,875
8,4.080144237730565,4.077531097631602,-2.6131400989629054,888
9,4.329003778866971,4.330840790942404,1.837012075432964,523
10,4.742146599633868,4.741752577381916,-0.3940222519526405,527
11,5.186829872569026,5.1810976317249775,-5.732240844048758,862
12,5.369200849987366,5.368403431080464,-0.7974189069027241,958
13,6.184364538024467,6.183818765175512,-0.5457728489555035,584
14,6.418481900333986,6.419578320580731,1.0964202467449884,813
15,6.7983680486619384,6.799547167482112,1.1791188201737173,642
16,7.202941472534739,7.202928741403519,-0.012731131220137153,895
17,7.798560433147689,7.79693154495081,-1.628888196880133,688
18,7.871685106875343,7.883590641178664,11.905534303321113,607
19,8.123663118730223,8.12230885800986,-1.3542607203611208,614
20,8.262121449293225,8.259744554576812,-2.3768947164124907,333
21,8.45119500118448,8.44991201619745,-1.2829849870296843,63
22,8.740932858518807,8.739855649827367,-1.077208691439701,212
23,9.507124714516483,9.5068964894237,-0.22822509278417696,879
24,10.066903028359626,10.066007121503189,-0.8959068564367171,693
25,10.241420607942104,10.240691865878953,-0.728742063151744,579
26,10.258345395211776,10.25982864294635,1.4832477345735484,94
27,10.996832328503524,10.99842533000334,1.5930014998156354,763
28,11.656684610187485,11.657750315214175,1.0657050266896386,603
29,12.132231881993505,12.141612992818681,9.381110825176044,598
30,12.459406007673566,12.458071492852046,-1.3345148215196225,459
31,14.25837059386821,14.257907045968745,-0.46354789946581826,632
32,14.575263433000226,14.574970043276956,-0.2933897232694278,235
33,14.620584160416579,14.632267054579557,11.682894162979341,627
34,15.739951583750198,15.73939114812874,-0.5604356214570857,881
35,17.058384754976085,17.055975308653352,-2.409446322732176,452
36,17.07746089917028,17.075786349972997,-1.6745491972813196,312
37,17.290438062643304,17.29396643350614,3.528370862833183,86
38,17.80348191664765,17.801616595066104,-1.8653215815484034,156
39,17.885351250433207,17.882823656814065,-2.5275936191407813,691
40,18.078502337934367,18.077918998927274,-0.5833390070936558,310
41,18.183792195592176,18.18731432574909,3.522130156914132,688
42,18.635248937881965,18.635441819384823,0.1928815028589019,479
43,18.68123838346399,18.681823680652744,0.585297188753271,403
44,19.556908283876353,19.553755158443998,-3.1531254323543663,587
45,19.62722542630685,19.624227773419538,-2.9976528873116615,643
46,19.740095684420716,19.74009094297921,-0.004741441504590116,953
47,19.755491372432854,19.754576149280552,-0.9152231523001899,632
48,19.779345806037465,19.78012512781892,0.7793217814531573,389
49,20.08741167628511,20.085206725165808,-2.204951119304125,299
50,20.600316688291553,20.602422786301396,2.1060980098441515,830
51,20.795101253957085,20.79781620154441,2.714947587323575,89
52,20.91743252027533,20.914338709689282,-3.0938105860492335,794
53,20.917835977763875,20.91832625281569,0.4902750518133978,908
54,21.25558226335276,21.255023816156676,-0.5584471960826963,349
55,21.63823736823078,21.641122581066764,2.8852128359839915,799
56,22.134693991510645,22.135145650283736,0.4516587730909718,675
57,23.864333281644775,23.86623978550359,1.9065038588173786,715
58,24.602362423368955,24.60220988278831,-0.15254058064689888,691
59,24.657643241240645,24.658271619617523,0.6283783768762687,569
60,25.142953741352336,25.14721939480822,4.265653455886895,238
61,25.37484615552018,25.378998877443312,4.1527219231305805,801
62,25.883306201622737,25.87991333329192,-3.3928683308184135,937
63,26.07161181358614,26.072374300986187,0.7624874000450351,957
64,26.94093837101287,26.941420949371594,0.4825783587254075,110
65,27.919197617296227,27.917050047418602,-2.147569877624876,276
66,27.929401559711508,27.92786554681615,-1.536012895356597,108
67,28.12711800854244,28.127487884772666,0.36987623022634236,826
68,28.700458748058317,28.702370753661246,1.9120056029291923,576
69,30.812298913531315,30.81334513968511,1.0462261537949262,863
70,31.272398758445917,31.281561289469657,9.162531023742128,347
71,31.576586122907415,31.5744637918861,-2.1223310213146798,861
72,31.95151758358112,31.94733100134322,-4.1865822378981346,575
73,31.98568290407945,31.988762925681318,3.0800216018686273,752
74,32.2359033986817,32.23478990693634,-1.113491745356355,332
75,32.58778779178575,32.58606892952218,-1.718862263569536,668
76,33.307595263647514,33.30827051802152,0.6752543740065703,893
77,33.43808234029386,33.43791054939517,-0.17179089868705916,775
