lambda_Hz,pw_us,v_peak_V,within_compliance
0.5,50.0,3.934693402873666,1
0.5,66.10169491525424,4.836740098653779,1
0.5,82.20338983050848,5.604632283307721,1
0.5,98.30508474576271,6.2583217319926945,1
0.5,114.40677966101696,6.814792944829216,1
0.5,130.5084745762712,7.288504447039772,1
0.5,146.61016949152543,7.691764457890514,1
0.5,162.71186440677968,8.035050689262324,1
0.5,178.8135593220339,8.32728258302448,1
0.5,194.91525423728814,8.576053060624327,1
0.5,211.0169491525424,8.787825806331623,1
0.5,227.11864406779662,8.968103210053727,1
0.5,243.22033898305085,9.12156933329936,1
0.5,259.3220338983051,9.25221161290723,1
0.5,275.42372881355936,9.363424464709208,1
0.5,291.5254237288136,9.458097479012487,1
0.5,307.6271186440678,9.53869049944171,1
0.5,323.7288135593221,9.607297535878702,1
0.5,339.8305084745763,9.665701172119146,1
0.5,355.93220338983053,9.715418881894273,1
0.5,372.0338983050848,9.75774245666464,1
0.5,388.135593220339,9.793771569619459,1
0.5,404.23728813559325,9.824442347958813,1
0.5,420.3389830508475,9.85055169583872,1
0.5,436.4406779661017,9.872777999950452,1
0.5,452.54237288135596,9.891698755717293,1
0.5,468.6440677966102,9.907805572081758,1
0.5,484.7457627118645,9.92151694474549,1
0.5,500.8474576271187,9.933189129742798,1
0.5,516.949152542373,9.943125399870718,1
0.5,533.0508474576272,9.951583924480957,1
0.5,549.1525423728814,9.958784477370614,1
0.5,565.2542372881356,9.964914147059579,1
0.5,581.3559322033899,9.970132197822014,1
0.5,597.4576271186442,9.974574207773767,1
0.5,613.5593220338984,9.97835559153368,1
0.5,629.6610169491526,9.981574598986395,1
0.5,645.7627118644068,9.984314868062096,1
0.5,661.8644067796611,9.986647597860811,1
0.5,677.9661016949153,9.988633398584568,1
0.5,694.0677966101696,9.990323866343262,1
0.5,710.1694915254238,9.991762923751692,1
0.5,726.271186440678,9.992987961149833,1
0.5,742.3728813559322,9.99403080809816,1
0.5,758.4745762711865,9.994918560389872,1
0.5,774.5762711864407,9.995674284067928,1
0.5,790.677966101695,9.996317614739004,1
0.5,806.7796610169493,9.996865267756057,1
0.5,822.8813559322034,9.99733147252535,1
0.5,838.9830508474577,9.997728342222299,1
